,N,p_left,p_right
1644213247100.0,13,0.9230769230769231,0.07692307692307693
1644213347100.0,20,0.75,0.25
1644213600000.0,4,0.75,0.25
1644213700000.0,3,1.0,0.0
1644214079900.0,6,0.3333333333333333,0.6666666666666666
1644214376200.0,8,0.5,0.5
1644214476200.0,13,0.7692307692307693,0.23076923076923078
1644214576200.0,18,0.7777777777777778,0.2222222222222222
1644214676200.0,24,0.875,0.125
1644214776200.0,30,0.8,0.2
1644214876200.0,48,0.8125,0.1875
1644215540100.0,157,0.6815286624203821,0.3184713375796178
1644216105600.0,15,0.8,0.2
1644216458800.0,5,0.6,0.4
1644216558800.0,11,0.6363636363636364,0.36363636363636365
1644216658800.0,13,0.7692307692307693,0.23076923076923078
1644217338300.0,180,0.7111111111111111,0.28888888888888886
1644217988300.0,103,0.8543689320388349,0.14563106796116504
1644218504600.0,6,1.0,0.0
1644218604600.0,12,0.8333333333333334,0.16666666666666666
1644218800900.0,46,0.6521739130434783,0.34782608695652173
1644219642900.0,17,0.8235294117647058,0.17647058823529413
1644219872800.0,46,0.6086956521739131,0.391304347826087
1644220137500.0,16,0.5625,0.4375
1644220237500.0,26,0.5384615384615384,0.46153846153846156
1644220661500.0,60,0.75,0.25
1644220910400.0,110,0.6636363636363637,0.33636363636363636
1644221458800.0,17,0.6470588235294118,0.35294117647058826
1644221802600.0,25,0.56,0.44
1644222096800.0,16,0.6875,0.3125
1644222430800.0,56,0.6964285714285714,0.30357142857142855
1644222940300.0,12,0.5833333333333334,0.4166666666666667
1644223272500.0,19,0.7368421052631579,0.2631578947368421
1644223414200.0,32,0.875,0.125
1644223692800.0,16,0.625,0.375
1644223879500.0,14,0.7142857142857143,0.2857142857142857
1644224154300.0,82,0.7804878048780488,0.21951219512195122
1644274875000.0,1,1.0,0.0
1644275018100.0,3,1.0,0.0
1644275239200.0,2,1.0,0.0
1644275339200.0,5,1.0,0.0
1644275439200.0,4,1.0,0.0
1644275566300.0,6,1.0,0.0
1644276923600.0,2,0.5,0.5
1644278320100.0,7,0.5714285714285714,0.42857142857142855
1644278400000.0,1,1.0,0.0
1644292919500.0,1,0.0,1.0
1644293920000.0,2,1.0,0.0
1644295198000.0,4,1.0,0.0
1644296445600.0,1,0.0,1.0
1644296648800.0,2,1.0,0.0
1644297002500.0,1,1.0,0.0
1644297102500.0,2,1.0,0.0
1644297202500.0,3,1.0,0.0
1644297302500.0,15,0.8666666666666667,0.13333333333333333
1644298014300.0,1,1.0,0.0
1644298114300.0,2,0.5,0.5
1644298214300.0,8,0.75,0.25
1644298314300.0,10,0.7,0.3
1644298811900.0,1,1.0,0.0
1644298911900.0,1,1.0,0.0
1644299011900.0,15,0.6666666666666666,0.3333333333333333
1644299812300.0,2,1.0,0.0
1644299912300.0,8,1.0,0.0
1644300000000.0,8,0.875,0.125
1644300100000.0,7,0.7142857142857143,0.2857142857142857
1644300245500.0,42,0.5,0.5
1644300609500.0,7,0.8571428571428571,0.14285714285714285
1644300709500.0,8,1.0,0.0
1644301025900.0,2,1.0,0.0
1644301291700.0,3,1.0,0.0
1644301401200.0,2,0.5,0.5
1644301501200.0,6,0.6666666666666666,0.3333333333333333
1644301620500.0,6,1.0,0.0
1644301720500.0,11,0.45454545454545453,0.5454545454545454
1644301876200.0,12,0.25,0.75
